id,name
"d2328c58-6c5f-46cc-9e08-c76bea129e07","Belle Vie"
"a67b612e-48db-4b14-94d7-fff6e72e9b76","Belmont"
"2687833b-d32d-4a5f-9afb-47b00245f396","Belmont Residences"
"f1cb1526-c2c4-4e65-a8a0-346f1893a313","Berkeley Place"
"7bba0a88-c8e3-4c14-a877-cbdf209c69db","Berkeley Square"
"f2b7eeb4-d92d-4d36-b25d-2a72a92d40db","Berkshire Park"
"1f95fae8-dfae-4069-be48-0e07d995ed74","Beverly Boulevard"
"3741fed4-581c-4d2f-92cc-2709009aa7e3","Beverly Gardens"
"a217d8ab-dc9e-42c3-a54b-7acaa0ad005f","Beverly Grande"
"e4d7fb3d-fc9a-4a99-9468-f4c92f99db24","Beverly Park"
"b080367c-98fd-4e88-b6a2-8f0710ce80e5","Beverly Residence 2"
"b564284b-449f-4e56-8566-fd9482c9062f","Bianca"
"4e1a5bb5-8919-41aa-ae93-552f0262ae8b","Binghatti Amber"
"ed493e5a-1165-4a33-b98a-005ce42c2b6b","Binghatti Amberhall"
"b99959f5-5f16-4239-b4f0-5446cc8a99e6","Binghatti Apex"
"ee061c54-8df3-4f22-a769-5c23272985a9","Binghatti Aquarise"
"d598730f-b983-4c2a-b922-3d5f3609f953","Binghatti Azure"
"6d41d56d-1853-4229-9d07-c40139435826","Binghatti Canal"
"a94235c2-8ba9-4b71-a582-1f99c09b58b0","Binghatti Circle"
"5029bedf-c7fc-4094-ba47-b481f351b417","Binghatti Creek"
"d35cf3f7-ed5c-427a-89d2-7354a2830fd3","Binghatti Crescent"
"be237455-f78b-44b1-8789-30d354e995af","Binghatti Crest"
"dac3a37f-5bb0-4aa8-bcca-d252892877a3","Binghatti Cullinan"
"85e8da34-8076-4414-a2a0-2b8524d369d3","Binghatti Dusk"
"ffbf34a3-ec79-4359-8a3f-673dcaf046e9","Binghatti East"
"1ce370bd-4ea6-455d-aac2-bd155ed38c23","Binghatti Elite"
"85d7e896-ccb2-4a39-83b5-2a4c6f73ae42","Binghatti Emerald"
"6efc2a69-9b22-4052-acab-6a720a1a869d","Binghatti Etherea"
"2e5504f3-0f9d-424a-bb1c-cc6305018c37","Binghatti Flare"
"32694561-2c34-4e80-bab1-f559645d4a53","Binghatti Galaxy"
"cad6187e-3478-415a-b98c-3278be892bec","Binghatti Gardenia"
"3a1f285c-d626-4bfd-95c6-060435a62568","Binghatti Gateway"
"b6ba2509-f189-4446-8e4b-60ad414ab31b","Binghatti Ghost"
"735023be-5705-4f1d-b1ee-25b8ef00b2e8","Binghatti Grove"
"a2c59c76-5a92-49a5-9a88-a91c1b6da0fd","Binghatti Haven"
"29ea25be-533e-477f-82e1-290edd662af6","Binghatti HillCrest"
"3f55bab3-a84f-44ba-8b82-b09004cbce90","Binghatti Hills"
"ed6e1cd5-6213-4f6e-920b-c69877ea7652","Binghatti Hillside"
"ffa7d20a-ba89-4353-8412-c11c4bc97c5c","Binghatti Hillviews"
"4ce4a305-6ea7-46c9-b1a4-7a68a024c955","Binghatti House"
